NEEDS_FIXING,PRONOUNCE,SYLLABARY
,dù:ni:hv̌:ʔi,ᏚᏂᎲᎢ
,dù:ni:hyá:ʔv̌,ᏚᏂᏯᎥ
,dù:ni:hyá:ʔv̌:ʔi,ᏚᏂᏯᎥᎢ
,dù:ni:hé:sdi,ᏚᏂᎮᏍᏗ
,dù:ni:hó,ᏚᏂᎰ
,dù:ni:hó:ʔi,ᏚᏂᎰᎢ
,dù:ni:ká do:ya.,ᏚᏂᎧ ᏙᏯ.
,dù:ni:káha,ᏚᏂᎧᎭ
,dù:ni:káha do:ya.,ᏚᏂᎧᎭ ᏙᏯ.
,dù:ni:ne:hv̌,ᏚᏂᏁᎲ
,dù:ni:ne:hv̌:ʔi,ᏚᏂᏁᎲᎢ
,dù:ni:ne:hó,ᏚᏂᏁᎰ
,dù:ni:ne:hó:ʔi,ᏚᏂᏁᎰᎢ
,dù:ni:náó,ᏚᏂᎾᎣ
,dù:ni:náó:ʔi,ᏚᏂᎾᎣᎢ
,dù:ni:náʔa,ᏚᏂᎾᎠ
,dù:ni:tade:gí,ᏚᏂᏔᏕᎩ
,dù:ni:tade:gí:ʔa,ᏚᏂᏔᏕᎩᎠ
,dù:ni:yò:sǐ:sā,ᏚᏂᏲᏏᏌ
,dù:ni:yó:si:sgv̌,ᏚᏂᏲᏏᏍᎬ
,dù:ni:yó:si:sgv̌:ʔi,ᏚᏂᏲᏏᏍᎬᎢ
,dù:ni:yó:si:sgó,ᏚᏂᏲᏏᏍᎪ
,dù:ni:yó:si:sgó:ʔi,ᏚᏂᏲᏏᏍᎪᎢ
,dù:ni:yó:siha,ᏚᏂᏲᏏᎭ
*,dù:ninhd kaʔla.,ᏚᏂnd ᎧᎳ.
*,dù:ninhdi kaʔla.,ᏚᏂnᏗ ᎧᎳ.
*,dù:ninvhd kaʔla.,ᏚᏂᏅd ᎧᎳ.
,dù:ninvhdi kaʔla.,ᏚᏂᏅᏗ ᎧᎳ.
,dù:nohljv̌,ᏚᏃꮅᏨ
,dù:nohljv̌:ʔi,ᏚᏃꮅᏨᎢ
,dù:nv̌:yê:sdi,ᏚᏅᏰᏍᏗ
*,dù:nà:ktǒ:stánv̌,ᏚᎾkᏙᏍᏔᏅ
*,dù:nà:ktǒ:stánv̌:ʔi,ᏚᎾkᏙᏍᏔᏅᎢ
,dù:nàtǔ:gî:sv̌,ᏚᎾᏚᎩᏒ
,dù:nàtǔ:gî:sv̌:ʔi,ᏚᎾᏚᎩᏒᎢ
,dù:nì:sdí:gv̌,ᏚᏂᏍᏗᎬ
,dù:nì:sdí:gv̌:ʔi,ᏚᏂᏍᏗᎬᎢ
,dù:nù:di:tahv̌,ᏚᏄᏗᏔᎲ
,dù:nù:di:tahv̌:ʔi,ᏚᏄᏗᏔᎲᎢ
,"dù:nī""v",ᏚᏂᎥ
*,dù:nǐ:ha na nǔ:n.,ᏚᏂᎭ Ꮎ Ꮔn.
,dù:nǐ:ha na nǔ:na.,ᏚᏂᎭ Ꮎ ᏄᎾ.
,dù:sdí:gv̌,ᏚᏍᏗᎬ
,dù:sdí:gv̌:ʔi,ᏚᏍᏗᎬᎢ
,dù:tǔ:gî:sv̌,ᏚᏚᎩᏒ
,dù:tǔ:gî:sv̌:ʔi,ᏚᏚᎩᏒᎢ
,dù:wa:ká ahwi.,ᏚᏩᎧ ᎠᏫ.
,dù:wa:káha ahawi.,ᏚᏩᎧᎭ ᎠᎭᏫ.
*,dě:dluhgv̋ dà:nigowhtí,ᏕᏡᎬ ᏓᏂᎪwᏘ
*,dě:dluhgv̋:ʔi dà:nigowhtíha,ᏕᏡᎬᎢ ᏓᏂᎪwᏘᎭ
*,dě:hlgv̋ dà:nigowhtí,ᏕꮅᎬ ᏓᏂᎪwᏘ
*,dě:hlgv̋:ʔi dà:nigowhtíha,ᏕꮅᎬᎢ ᏓᏂᎪwᏘᎭ
*,dě:hluʔgv̋ dà:nigowhtí,ᏕᏡᎬ ᏓᏂᎪwᏘ
*,dě:hluʔgv̋:ʔi dà:nigowhtíha,ᏕᏡᎬᎢ ᏓᏂᎪwᏘᎭ
*,dě:hlʔgv̋ dà:nigowhtí,ᏕꮅᎬ ᏓᏂᎪwᏘ
*,dě:hlʔgv̋:ʔi dà:nigowhtíha,ᏕꮅᎬᎢ ᏓᏂᎪwᏘᎭ
,dě:jádó a:lí:sa:gwe:ti,ᏕᏣᏙ ᎠᎵᏌᏇᏘ
*,dě:jádó:ʔas dé:wid ji:sd?,ᏕᏣᏙᎠᏍ ᏕᏫd ᏥᏍd?
,dě:jádó:ʔasgo dé:widi ji:sdu?,ᏕᏣᏙᎠᏍᎪ ᏕᏫᏗ ᏥᏍᏚ?
*,dě:jádós dé:wid ji:sd?,ᏕᏣᏙᏍ ᏕᏫd ᏥᏍd?
,dě:sdádó sú:sano ale tó:masi,ᏕᏍᏓᏙ ᏑᏌᏃ ᎠᎴ ᏙᎹᏏ
,dō adv:ne?,Ꮩ ᎠᏛᏁ?
,dō anadv:ne?,Ꮩ ᎠᎾᏛᏁ?
,dō dě:jádó,Ꮩ ᏕᏣᏙ
,dō gadv:ne?,Ꮩ ᎦᏛᏁ?
,dō hadv:ne?,Ꮩ ᎭᏛᏁ?
*,dō jű:sd nv̀:ya?,Ꮩ ᏧᏍd ᏅᏯ?
*,dō jű:sd nǔ:n?,Ꮩ ᏧᏍd Ꮔn?
*,dō u:sd hiʔa?,Ꮩ ᎤᏍd ᎯᎠ?
*,dō u:sd jadu:lí?,Ꮩ ᎤᏍd ᏣᏚᎵ?
*,dō u:sd julsǔ:hwid na nǔ:n?,Ꮩ ᎤᏍd ᏧꮅᏑᏫd Ꮎ Ꮔn?
*,dō u:sd sdadu:lí?,Ꮩ ᎤᏍd ᏍᏓᏚᎵ?
*,dō u:sd u:nalsǔ:hwid na ji:sd?,Ꮩ ᎤᏍd ᎤᎾꮅᏑᏫd Ꮎ ᏥᏍd?
*,dō u:sd ulsǔ:hwid na gi:hli?,Ꮩ ᎤᏍd ᎤꮅᏑᏫd Ꮎ ᎩᏟ?
*,dō u:sd áhni?,Ꮩ ᎤᏍd ᎠᏂ?
*,dō u:sd ì:jadu:lí?,Ꮩ ᎤᏍd ᎢᏣᏚᎵ?
*,dō u:sd?,Ꮩ ᎤᏍd?
*,dō u:sdi higowhtí?,Ꮩ ᎤᏍᏗ ᎯᎪwᏘ?
,dō u:sdi?,Ꮩ ᎤᏍᏗ?
*,dō à:dv́:ne achű:j?,Ꮩ ᎠᏛᏁ ᎠᏧj?
*,dō à:dv́:ne age:hyű:j?,Ꮩ ᎠᏛᏁ ᎠᎨᏳj?
*,dō à:na:dv́:ne ani:chű:j?,Ꮩ ᎠᎾᏛᏁ ᎠᏂᏧj?
*,dō ű:sd asgaya?,Ꮩ ᎤᏍd ᎠᏍᎦᏯ?
*,dō ű:sd do:dáhno:gí:si?,Ꮩ ᎤᏍd ᏙᏓᏃᎩᏏ?
*,dō ű:sd dáhno:gí:si?,Ꮩ ᎤᏍd ᏓᏃᎩᏏ?
*,dō ű:sd?,Ꮩ ᎤᏍd?
,dō ű:sdi?,Ꮩ ᎤᏍᏗ?
*,dō űnsd ani:sgaya?,Ꮩ ᎤnᏍd ᎠᏂᏍᎦᏯ?
*,dō űnsd?,Ꮩ ᎤnᏍd?
*,dō űnsdi ani:gě:hya?,Ꮩ ᎤnᏍᏗ ᎠᏂᎨᏯ?
*,dō űnsdi?,Ꮩ ᎤnᏍᏗ?
,"dū""v",ᏚᎥ
*,dǔ:ha na di:sadv́:d.,ᏚᎭ Ꮎ ᏗᏌᏛd.
,dǔ:ha na di:sadv́:di.,ᏚᎭ Ꮎ ᏗᏌᏛᏗ.
,e:do:da,ᎡᏙᏓ
,e:ji,ᎡᏥ
,e:lo.,ᎡᎶ.
,e:logwa.,ᎡᎶᏆ.
,e:lohi.,ᎡᎶᎯ.
,"eeè, ù:hyv:dla.","ᎡᎡᎡ, ᎤᏴᏜ."
,ehli.,ᎡᏟ.
*,e̋:g.,Ꭱg.
,e̋:gwa.,ᎡᏆ.
,e̋:gwv.,ᎡᏋ.
,ga:dǐ:tā,ᎦᏗᏔ
*,ga:sgilo jigowhtí,ᎦᏍᎩᎶ ᏥᎪwᏘ
*,ga:sgilo jigowhtíha,ᎦᏍᎩᎶ ᏥᎪwᏘᎭ
,gada:do:li:gó,ᎦᏓᏙᎵᎪ
,gada:do:li:gó:ʔi,ᎦᏓᏙᎵᎪᎢ
,gada:do:lì:gā,ᎦᏓᏙᎵᎦ
*,gada:gowhtíha,ᎦᏓᎪwᏘᎭ
,gada:gò:wahtā,ᎦᏓᎪᏩᏔ
,gadagà:tǒ:sdi,ᎦᏓᎦᏙᏍᏗ
,gadagà:tǒ:sdā,ᎦᏓᎦᏙᏍᏓ
,gadà:gà:tǒ:sdí:sgó,ᎦᏓᎦᏙᏍᏗᏍᎪ
,gadà:gà:tǒ:sdí:sgó:ʔi,ᎦᏓᎦᏙᏍᏗᏍᎪᎢ
,gadí:ʔa,ᎦᏗᎠ
,gadí:ʔa sgǒ:hi.,ᎦᏗᎠ ᏍᎪᎯ.
,gadíha.,ᎦᏗᎭ.
,gadíʔa.,ᎦᏗᎠ.
,gadò dě:jádo:ʔa?,ᎦᏙ ᏕᏣᏙᎠ?
,gadò gadv:ne?,ᎦᏙ ᎦᏛᏁ?
,gadò gadv:neha?,ᎦᏙ ᎦᏛᏁᎭ?
,gadò hadv:ne?,ᎦᏙ ᎭᏛᏁ?
,gadò hadv:neha?,ᎦᏙ ᎭᏛᏁᎭ?
,gadò à:dv́:ne?,ᎦᏙ ᎠᏛᏁ?
,gadò à:dv́:neha?,ᎦᏙ ᎠᏛᏁᎭ?
,gadò à:nadv́:ne?,ᎦᏙ ᎠᎾᏛᏁ?
,gadò à:nadv́:neha?,ᎦᏙ ᎠᎾᏛᏁᎭ?
,gadò:gi hadí:ʔa?,ᎦᏙᎩ ᎭᏗᎠ?
,gadò:hv̋,ᎦᏙᎲ
,gadò:hv̋?,ᎦᏙᎲ?
,gadò?,ᎦᏙ?
,gadògí?,ᎦᏙᎩ?
,gadā,ᎦᏓ
,gadō adv:neha?,ᎦᏙ ᎠᏛᏁᎭ?
,gadō adv:neʔa?,ᎦᏙ ᎠᏛᏁᎠ?
,gadō anadv:neha?,ᎦᏙ ᎠᎾᏛᏁᎭ?
,gadō anadv:neʔa?,ᎦᏙ ᎠᎾᏛᏁᎠ?
,gadō dě:jádó,ᎦᏙ ᏕᏣᏙ
,gadō dě:jádó:ʔa,ᎦᏙ ᏕᏣᏙᎠ
,gadō gadv:neha?,ᎦᏙ ᎦᏛᏁᎭ?
,gadō gadv:neʔa?,ᎦᏙ ᎦᏛᏁᎠ?
,gadō hadv:neha?,ᎦᏙ ᎭᏛᏁᎭ?
,gadō hadv:neʔa?,ᎦᏙ ᎭᏛᏁᎠ?
*,gadō jű:sd nv̀:ya?,ᎦᏙ ᏧᏍd ᏅᏯ?
*,gadō jű:sd nǔ:n?,ᎦᏙ ᏧᏍd Ꮔn?
,gadō jű:sdi nv̀:ya?,ᎦᏙ ᏧᏍᏗ ᏅᏯ?
,gadō jű:sdi nǔ:na?,ᎦᏙ ᏧᏍᏗ ᏄᎾ?
*,gadō u:sd higowhtí?,ᎦᏙ ᎤᏍd ᎯᎪwᏘ?
*,gadō u:sd julsǔ:hwid na nǔ:n?,ᎦᏙ ᎤᏍd ᏧꮅᏑᏫd Ꮎ Ꮔn?
*,gadō u:sd u:nalsǔ:hwid na ji:sd?,ᎦᏙ ᎤᏍd ᎤᎾꮅᏑᏫd Ꮎ ᏥᏍd?
*,gadō u:sd ulsǔ:hwid na gi:hli?,ᎦᏙ ᎤᏍd ᎤꮅᏑᏫd Ꮎ ᎩᏟ?
*,gadō u:sd áhni?,ᎦᏙ ᎤᏍd ᎠᏂ?
*,gadō u:sdi higowhtíha?,ᎦᏙ ᎤᏍᏗ ᎯᎪwᏘᎭ?
,gadō u:sdi hiʔa?,ᎦᏙ ᎤᏍᏗ ᎯᎠ?
,gadō u:sdi jadu:líha?,ᎦᏙ ᎤᏍᏗ ᏣᏚᎵᎭ?
,gadō u:sdi jadu:líʔa?,ᎦᏙ ᎤᏍᏗ ᏣᏚᎵᎠ?
,gadō u:sdi julsǔ:hwida na nǔ:na?,ᎦᏙ ᎤᏍᏗ ᏧꮅᏑᏫᏓ Ꮎ ᏄᎾ?
,gadō u:sdi sdadu:líha?,ᎦᏙ ᎤᏍᏗ ᏍᏓᏚᎵᎭ?
,gadō u:sdi sdadu:líʔa?,ᎦᏙ ᎤᏍᏗ ᏍᏓᏚᎵᎠ?
,gadō u:sdi u:nalsǔ:hwida na ji:sdu?,ᎦᏙ ᎤᏍᏗ ᎤᎾꮅᏑᏫᏓ Ꮎ ᏥᏍᏚ?
,gadō u:sdi ulsǔ:hwida na gi:hli?,ᎦᏙ ᎤᏍᏗ ᎤꮅᏑᏫᏓ Ꮎ ᎩᏟ?
,gadō u:sdi áhani?,ᎦᏙ ᎤᏍᏗ ᎠᎭᏂ?
,gadō u:sdi ì:jadu:líha?,ᎦᏙ ᎤᏍᏗ ᎢᏣᏚᎵᎭ?
,gadō u:sdi ì:jadu:líʔa?,ᎦᏙ ᎤᏍᏗ ᎢᏣᏚᎵᎠ?
,gadō u:sdi?,ᎦᏙ ᎤᏍᏗ?
*,gadō à:dv́:ne achű:j?,ᎦᏙ ᎠᏛᏁ ᎠᏧj?
*,gadō à:dv́:ne age:hyű:j?,ᎦᏙ ᎠᏛᏁ ᎠᎨᏳj?
,gadō à:dv́:neha achű:ja?,ᎦᏙ ᎠᏛᏁᎭ ᎠᏧᏣ?
,gadō à:dv́:neha age:hyű:ja?,ᎦᏙ ᎠᏛᏁᎭ ᎠᎨᏳᏣ?
*,gadō à:na:dv́:ne ani:chű:j?,ᎦᏙ ᎠᎾᏛᏁ ᎠᏂᏧj?
,gadō à:na:dv́:neha ani:chű:ja?,ᎦᏙ ᎠᎾᏛᏁᎭ ᎠᏂᏧᏣ?
*,gadō ű:sd asgaya?,ᎦᏙ ᎤᏍd ᎠᏍᎦᏯ?
*,gadō ű:sd?,ᎦᏙ ᎤᏍd?
,gadō ű:sdi asgaya?,ᎦᏙ ᎤᏍᏗ ᎠᏍᎦᏯ?
,gadō ű:sdi do:dáhno:gí:si?,ᎦᏙ ᎤᏍᏗ ᏙᏓᏃᎩᏏ?
,gadō ű:sdi dáhno:gí:si?,ᎦᏙ ᎤᏍᏗ ᏓᏃᎩᏏ?
,gadō ű:sdi?,ᎦᏙ ᎤᏍᏗ?
*,gadō űnsd ani:sgaya?,ᎦᏙ ᎤnᏍd ᎠᏂᏍᎦᏯ?
*,gadō űnsdi ani:gě:hya?,ᎦᏙ ᎤnᏍᏗ ᎠᏂᎨᏯ?
*,gadō űnsdi ani:sgaya?,ᎦᏙ ᎤnᏍᏗ ᎠᏂᏍᎦᏯ?
*,gadō űnsdi?,ᎦᏙ ᎤnᏍᏗ?
,gadō?,ᎦᏙ?
,gadǐ:sgó,ᎦᏗᏍᎪ
,gadǐ:sgó:ʔi,ᎦᏗᏍᎪᎢ
,gagà:tǒ:sdi,ᎦᎦᏙᏍᏗ
,gagà:tǒ:sdā,ᎦᎦᏙᏍᏓ
,gahi:do:da,ᎦᎯᏙᏓ
*,gahi:gowhtíha,ᎦᎯᎪwᏘᎭ
*,gahi:gowhtǐ:sgó,ᎦᎯᎪwᏘᏍᎪ
*,gahi:gowhtǐ:sgóʔi,ᎦᎯᎪwᏘᏍᎪᎢ
,gahi:gò:wahta,ᎦᎯᎪᏩᏔ
,gahi:ji,ᎦᎯᏥ
,gahi:yadu:líha,ᎦᎯᏯᏚᎵᎭ
,gahi:yadu:lǐ:sgó,ᎦᎯᏯᏚᎵᏍᎪ
,gahi:yadu:lǐ:sgóʔi,ᎦᎯᏯᏚᎵᏍᎪᎢ
,gahi:yadǔ:la,ᎦᎯᏯᏚᎳ
,gahi:yagà:tǒ:sda,ᎦᎯᏯᎦᏙᏍᏓ
,gahi:yagà:tǒ:sdóhdi,ᎦᎯᏯᎦᏙᏍᏙᏗ
,gahi:yo:li:jv̌,ᎦᎯᏲᎵᏨ
,gahi:yo:li:jv̌:ʔi,ᎦᎯᏲᎵᏨᎢ
,gahi:yo:lí:sdi,ᎦᎯᏲᎵᏍᏗ
,gahlgwǎ:du,ᎦꮅᏆᏚ
,gahlgwǎ:sgǒ:hi,ᎦꮅᏆᏍᎪᎯ
*,gahlgwǒ:g ale joʔga:ʔd táʔlsgǒ ǐ:g.,ᎦꮅᏉg ᎠᎴ ᏦᎦd ᏔꮅᏍᎪ Ꭲg.
*,gahlgwǒ:g ale sà:gwű chaně:l ǐ:g.,ᎦꮅᏉg ᎠᎴ ᏌᏊ ᏣᏁꮅ Ꭲg.
*,gahlgwǒ:g ale sà:gwű chuně:l ǐ:g.,ᎦꮅᏉg ᎠᎴ ᏌᏊ ᏧᏁꮅ Ꭲg.
*,gahlgwǒ:g ani:ge:hyű:j,ᎦꮅᏉg ᎠᏂᎨᏳj
,gahlgwǒ:gi ale joʔga:ʔdu táʔlsgǒ:hi ǐ:gi.,ᎦꮅᏉᎩ ᎠᎴ ᏦᎦᏚ ᏔꮅᏍᎪᎯ ᎢᎩ.
,gahlgwǒ:gi ale sà:gwű chaně:la ǐ:gi.,ᎦꮅᏉᎩ ᎠᎴ ᏌᏊ ᏣᏁᎳ ᎢᎩ.
,gahlgwǒ:gi ale sà:gwű chuně:la ǐ:gi.,ᎦꮅᏉᎩ ᎠᎴ ᏌᏊ ᏧᏁᎳ ᎢᎩ.
,gahlgwǒ:gi ani:ge:hyű:ja,ᎦꮅᏉᎩ ᎠᏂᎨᏳᏣ
,gahlgwǒ:gi:ne̋ salǒ:l,ᎦꮅᏉᎩᏁ ᏌᎶꮅ
,gahlgwǒ:gi:ne̋:ʔi salǒ:li,ᎦꮅᏉᎩᏁᎢ ᏌᎶᎵ
,gaji:do:da,ᎦᏥᏙᏓ
*,gaji:gowhtv́hdi,ᎦᏥᎪwᏛᏗ
*,gaji:gowhtíha,ᎦᏥᎪwᏘᎭ
,gaji:ji,ᎦᏥᏥ
,gaji:yadu:lv:hv̌,ᎦᏥᏯᏚᎸᎲ
,gaji:yadu:lv:hv̌:ʔi,ᎦᏥᏯᏚᎸᎲᎢ
,gaji:yadu:líha,ᎦᏥᏯᏚᎵᎭ
,gaji:yagà:tǒ:sdi,ᎦᏥᏯᎦᏙᏍᏗ
,gaji:yagà:tǒ:sdóhdi,ᎦᏥᏯᎦᏙᏍᏙᏗ
,gaji:yo:li:gó,ᎦᏥᏲᎵᎪ
,gaji:yo:li:gó:ʔi,ᎦᏥᏲᎵᎪᎢ
,gaji:yo:li:jv̌,ᎦᏥᏲᎵᏨ
,gaji:yo:li:jv̌:ʔi,ᎦᏥᏲᎵᏨᎢ
,gaji:yo:lí:sdi,ᎦᏥᏲᎵᏍᏗ
,gaji:yà:gà:tǒ:stánv̌,ᎦᏥᏯᎦᏙᏍᏔᏅ
,gaji:yà:gà:tǒ:stánv̌:ʔi,ᎦᏥᏯᎦᏙᏍᏔᏅᎢ
,gakwe:nvhdo go:hwe:li.,ᎦᏇᏅᏙ ᎪᏪᎵ.
,gakwe:nvhdodi go:hwe:li.,ᎦᏇᏅᏙᏗ ᎪᏪᎵ.
,galigwo:gi:ne̋ jalagi go:hwe:lv̋:ʔi.,ᎦᎵᏉᎩᏁ ᏣᎳᎩ ᎪᏪᎸᎢ.
,galigwo:gi:ne̋.,ᎦᎵᏉᎩᏁ.
,galigwo:gi:ne̋:ʔi.,ᎦᎵᏉᎩᏁᎢ.
,galigwo:gi:ne̋ʔi jalagi go:hwe:lv̋:ʔi.,ᎦᎵᏉᎩᏁᎢ ᏣᎳᎩ ᎪᏪᎸᎢ.
*,galigwǒ:g.,ᎦᎵᏉg.
,galigwǒ:gi.,ᎦᎵᏉᎩ.
,galiʔě:lî.,ᎦᎵᎡᎵ.
,galiʔě:lî:ga.,ᎦᎵᎡᎵᎦ.
,galv:lő gǐ:ge.,ᎦᎸᎶ ᎩᎨ.
,galv:lő gǐ:gáge.,ᎦᎸᎶ ᎩᎦᎨ.
,galv:lő.,ᎦᎸᎶ.
,galv:lő:hi.,ᎦᎸᎶᎯ.
,galì:sdâ:yv:hv́.,ᎦᎵᏍᏓᏴᎲ.
,galì:sdâ:yv:hv́sga.,ᎦᎵᏍᏓᏴᎲᏍᎦ.
,galù:gā,ᎦᎷᎦ
*,gana̋:j.,ᎦᎾj.
,gana̋:ji.,ᎦᎾᏥ.
*,gawò:nǐ:hísd,ᎦᏬᏂᎯᏍd
,gawò:nǐ:hísdi,ᎦᏬᏂᎯᏍᏗ
,gawó:ni.,ᎦᏬᏂ.
*,gawó:ni:sgv́ à:ktahv.́,ᎦᏬᏂᏍᎬ ᎠkᏔᎲ.
*,gawó:ni:sgv́ à:ktahv́,ᎦᏬᏂᏍᎬ ᎠkᏔᎲ
*,gawó:ni:sgv́:ʔi à:ktahv́:ʔi,ᎦᏬᏂᏍᎬᎢ ᎠkᏔᎲᎢ
*,gawó:ni:sgv́:ʔi à:ktahv́:ʔi.,ᎦᏬᏂᏍᎬᎢ ᎠkᏔᎲᎢ.
,gawó:niha.,ᎦᏬᏂᎭ.
,gawó:niʔa.,ᎦᏬᏂᎠ.
,gaʔdǔ:gía,ᎦᏚᎩᎠ
,gaʔdǔ:gî:sgó,ᎦᏚᎩᏍᎪ
,gaʔdǔ:gî:sgó:ʔi,ᎦᏚᎩᏍᎪᎢ
,gaʔdǔ:gā,ᎦᏚᎦ
*,gaʔlo:hn kaʔla.,ᎦᎶn ᎧᎳ.
,gaʔlo:hni kaʔla.,ᎦᎶᏂ ᎧᎳ.
,ga̋:du ale go:hlv:hnv̋ dè:skv̀:si.,ᎦᏚ ᎠᎴ ᎪᏢᏅ ᏕᏍᎬᏏ.
,ga̋:du dè:skv̀:si.,ᎦᏚ ᏕᏍᎬᏏ.
,ga̋:du go:hlv:hnv̋ dè:skv̀:si.,ᎦᏚ ᎪᏢᏅ ᏕᏍᎬᏏ.
,ga̋:du.,ᎦᏚ.
,ge:dadǔ:la,ᎨᏓᏚᎳ
,ge:dadǔ:lā,ᎨᏓᏚᎳ
,ge:dagà:tǒ:sda,ᎨᏓᎦᏙᏍᏓ
,ge:dagà:tǒ:sdóhdi,ᎨᏓᎦᏙᏍᏙᏗ
*,ge:di:gowhtǐ:sgó,ᎨᏗᎪwᏘᏍᎪ
*,ge:di:gowhtǐ:sgóʔi,ᎨᏗᎪwᏘᏍᎪᎢ
,ge:di:gò:wahta,ᎨᏗᎪᏩᏔ
,ge:do:lì,ᎨᏙᎵ
,ge:do:lì:ga,ᎨᏙᎵᎦ
,ge:do:lì:gi,ᎨᏙᎵᎩ
,ge:gadu:lv:hv̌,ᎨᎦᏚᎸᎲ
,ge:gadu:lv:hv̌:ʔi,ᎨᎦᏚᎸᎲᎢ
,ge:gadu:líha,ᎨᎦᏚᎵᎭ
,ge:gadǔ:lā,ᎨᎦᏚᎳ
,ge:gagà:tǒ:sdóhdi,ᎨᎦᎦᏙᏍᏙᏗ
,ge:gi:go:hv̌,ᎨᎩᎪᎲ
,ge:gi:go:hv̌:ʔi,ᎨᎩᎪᎲᎢ
,ge:gi:gò:wahtā,ᎨᎩᎪᏩᏔ
,ge:ginadu:líha,ᎨᎩᎾᏚᎵᎭ
,ge:ginadǔ:lā,ᎨᎩᎾᏚᎳ
,ge:gini:go:hv̌,ᎨᎩᏂᎪᎲ
,ge:gini:go:hv̌:ʔi,ᎨᎩᏂᎪᎲᎢ
,ge:gini:gò:wahtā,ᎨᎩᏂᎪᏩᏔ
,ge:gino:hlísdi,ᎨᎩᏃᏟᏍᏗ
,ge:ginohlgó,ᎨᎩᏃꮅᎪ
,ge:ginohlgó:ʔi,ᎨᎩᏃꮅᎪᎢ
,ge:go:hlísdi,ᎨᎪᏟᏍᏗ
,ge:go:li:gó,ᎨᎪᎵᎪ
,ge:go:li:gó:ʔi,ᎨᎪᎵᎪᎢ
,ge:go:lí:sdi,ᎨᎪᎵᏍᏗ
,ge:gohlgó,ᎨᎪꮅᎪ
,ge:gohlgó:ʔi,ᎨᎪꮅᎪᎢ
,ge:gohljv̌,ᎨᎪꮅᏨ
,ge:gohljv̌:ʔi,ᎨᎪꮅᏨᎢ
,ge:gà:gà:tǒ:stánv̌,ᎨᎦᎦᏙᏍᏔᏅ
,ge:gà:gà:tǒ:stánv̌:ʔi,ᎨᎦᎦᏙᏍᏔᏅᎢ
,ge:jadǔ:la,ᎨᏣᏚᎳ
,ge:jadǔ:lā,ᎨᏣᏚᎳ
*,ge:jagowhtí na ani:chű:j.,ᎨᏣᎪwᏘ Ꮎ ᎠᏂᏧj.
*,ge:jagowhtíha,ᎨᏣᎪwᏘᎭ
*,ge:jagowhtíha na ani:chű:ja.,ᎨᏣᎪwᏘᎭ Ꮎ ᎠᏂᏧᏣ.
*,ge:jagowhtǐ:sgó,ᎨᏣᎪwᏘᏍᎪ
*,ge:jagowhtǐ:sgóʔi,ᎨᏣᎪwᏘᏍᎪᎢ
,ge:jagà:tǒ:sda,ᎨᏣᎦᏙᏍᏓ
,ge:jagà:tǒ:sdóhdi,ᎨᏣᎦᏙᏍᏙᏗ
*,ge:jaktǒ:sdā,ᎨᏣkᏙᏍᏓ
*,ge:ji:gowhtǐ:sgó,ᎨᏥᎪwᏘᏍᎪ
*,ge:ji:gowhtǐ:sgóʔi,ᎨᏥᎪwᏘᏍᎪᎢ
,ge:ji:gò:wahta,ᎨᏥᎪᏩᏔ
,ge:jo:hlísdi,ᎨᏦᏟᏍᏗ
,ge:jo:lì,ᎨᏦᎵ
,ge:jo:lì:ga,ᎨᏦᎵᎦ
,ge:jo:lì:gi,ᎨᏦᎵᎩ
,ge:johlga,ᎨᏦꮅᎦ
,ge:johlgā,ᎨᏦꮅᎦ
*,ge:jà:ktǒ:sdi,ᎨᏣkᏙᏍᏗ
*,ge:jà:ktǒ:stánv̌,ᎨᏣkᏙᏍᏔᏅ
*,ge:jà:ktǒ:stánv̌:ʔi,ᎨᏣkᏙᏍᏔᏅᎢ
,ge:nadǔ:la,ᎨᎾᏚᎳ
,ge:nadǔ:lā,ᎨᎾᏚᎳ
,ge:nagà:tǒ:sda,ᎨᎾᎦᏙᏍᏓ
,ge:nagà:tǒ:sdóhdi,ᎨᎾᎦᏙᏍᏙᏗ
*,ge:ni:gowhtǐ:sgó,ᎨᏂᎪwᏘᏍᎪ
*,ge:ni:gowhtǐ:sgóʔi,ᎨᏂᎪwᏘᏍᎪᎢ
,ge:ni:gò:wahta,ᎨᏂᎪᏩᏔ
,ge:no:lì,ᎨᏃᎵ
,ge:no:lì:ga,ᎨᏃᎵᎦ
,ge:no:lì:gi,ᎨᏃᎵᎩ
,ge:sdadǔ:la,ᎨᏍᏓᏚᎳ
,ge:sdadǔ:lā,ᎨᏍᏓᏚᎳ
,ge:sdagà:tǒ:sda,ᎨᏍᏓᎦᏙᏍᏓ
,ge:sdagà:tǒ:sdi,ᎨᏍᏓᎦᏙᏍᏗ
,ge:sdagà:tǒ:sdā,ᎨᏍᏓᎦᏙᏍᏓ
,ge:sdi:go:hv̌,ᎨᏍᏗᎪᎲ
,ge:sdi:go:hv̌:ʔi,ᎨᏍᏗᎪᎲᎢ
,ge:sdi:gò:wahta,ᎨᏍᏗᎪᏩᏔ
,ge:sdo:lì,ᎨᏍᏙᎵ
,ge:sdo:lì:ga,ᎨᏍᏙᎵᎦ
,ge:sdo:lì:gi,ᎨᏍᏙᎵᎩ
,ge:sdo:lì:gā,ᎨᏍᏙᎵᎦ
,gi:hli ale wě:s,ᎩᏟ ᎠᎴ ᏪᏍ
