NEEDS_FIXING,PRONOUNCE,SYLLABARY
,awě:s,ᎠᏪᏍ
,awě:sa,ᎠᏪᏌ
,awǒ:háʔli,ᎠᏬᎭᎵ
,awǒ:háʔli.,ᎠᏬᎭᎵ.
,aya,ᎠᏯ
,aya:do:hlv̋,ᎠᏯᏙᏢ
,aya:do:hlv̋:ʔi,ᎠᏯᏙᏢᎢ
,ayo!,ᎠᏲ!
,ayv,ᎠᏴ
,ayv:wi,ᎠᏴᏫ
,ayv:wi:ya̋,ᎠᏴᏫᏯ
,ayv:wi:ya̋:ʔi,ᎠᏴᏫᏯᎢ
,ayvːwi hla ahawi uːnéːgihldi yàːdiha.,ᎠᏴᏫ Ꮭ ᎠᎭᏫ ᎤᏁᎩꮅᏗ ᏯᏗᎭ.
,ayvːwi hla tǔːya juːnéːgihldi yàːdiha.,ᎠᏴᏫ Ꮭ ᏚᏯ ᏧᏁᎩꮅᏗ ᏯᏗᎭ.
*,ayó:ne:g,ᎠᏲᏁg
,ayó:ne:ga,ᎠᏲᏁᎦ
,ayő!,ᎠᏲ!
,ayő:hli.,ᎠᏲᏟ.
,aʔahawi,ᎠᎠᎭᏫ
,aʔahwi,ᎠᎠᏫ
,a̋:ta.,ᎠᏔ.
,chaně:l,ᏣᏁꮅ
*,chaně:l ale gahlgwǒ:g sgiga:ʔd ǐ:g.,ᏣᏁꮅ ᎠᎴ ᎦꮅᏉg ᏍᎩᎦd Ꭲg.
,chaně:la,ᏣᏁᎳ
,chaně:la ale gahlgwǒ:gi sgiga:ʔdu ǐ:gi.,ᏣᏁᎳ ᎠᎴ ᎦꮅᏉᎩ ᏍᎩᎦᏚ ᎢᎩ.
,chaně:li:ne̋ jalagi go:hwe:lv̋:ʔi.,ᏣᏁᎵᏁ ᏣᎳᎩ ᎪᏪᎸᎢ.
,chaně:li:ne̋.,ᏣᏁᎵᏁ.
,chaně:li:ne̋:ʔi.,ᏣᏁᎵᏁᎢ.
,chaně:li:ne̋ʔi jalagi go:hwe:lv̋:ʔi.,ᏣᏁᎵᏁᎢ ᏣᎳᎩ ᎪᏪᎸᎢ.
,chawásga.,ᏣᏩᏍᎦ.
,chu:l,Ꮷꮅ
,chu:la.,ᏧᎳ.
,chuně:l,ᏧᏁꮅ
*,chuně:l ale gahlgwǒ:g sgiga:ʔd ǐ:g.,ᏧᏁꮅ ᎠᎴ ᎦꮅᏉg ᏍᎩᎦd Ꭲg.
,chuně:la,ᏧᏁᎳ
,chuně:la ale gahlgwǒ:gi sgiga:ʔdu ǐ:gi.,ᏧᏁᎳ ᎠᎴ ᎦꮅᏉᎩ ᏍᎩᎦᏚ ᎢᎩ.
,chuně:li:ne̋ jalagi go:hwe:lv̋:ʔi.,ᏧᏁᎵᏁ ᏣᎳᎩ ᎪᏪᎸᎢ.
,chuně:li:ne̋.,ᏧᏁᎵᏁ.
,chuně:li:ne̋:ʔi.,ᏧᏁᎵᏁᎢ.
,chuně:li:ne̋ʔi jalagi go:hwe:lv̋:ʔi.,ᏧᏁᎵᏁᎢ ᏣᎳᎩ ᎪᏪᎸᎢ.
,da:dǐ:tā,ᏓᏗᏔ
,da:la:du,ᏓᎳᏚ
*,dagowhtíha,ᏓᎪwᏘᎭ
,dagò:wahtā,ᏓᎪᏩᏔ
,daha:lige̋ nǔ:na,ᏓᎭᎵᎨ ᏄᎾ
,daha:lige̋:ʔi nǔ:na,ᏓᎭᎵᎨᎢ ᏄᎾ
*,daks,ᏓkᏍ
*,daksi.,ᏓkᏏ.
,dala:l,ᏓᎳꮅ
,dala:la.,ᏓᎳᎳ.
,dalǒ:níge̋ nv̀:ya,ᏓᎶᏂᎨ ᏅᏯ
,dalǒ:níge̋ ù:sgǒ:lv̋ tǔ:ya,ᏓᎶᏂᎨ ᎤᏍᎪᎸ ᏚᏯ
,dalǒ:níge̋:ʔi nv̀:ya,ᏓᎶᏂᎨᎢ ᏅᏯ
,dalǒ:níge̋:ʔi ù:sgǒ:lv̋:ʔi tǔ:ya,ᏓᎶᏂᎨᎢ ᎤᏍᎪᎸᎢ ᏚᏯ
,dasdǐ:gā,ᏓᏍᏗᎦ
,de:ga:dǐ:tā,ᏕᎦᏗᏔ
,de:gagà:tǒ:sdi,ᏕᎦᎦᏙᏍᏗ
,de:gagà:tǒ:sdā,ᏕᎦᎦᏙᏍᏓ
,de:gahyagā,ᏕᎦᏯᎦ
,de:gahyé,ᏕᎦᏰ
,de:gahyé:sgó,ᏕᎦᏰᏍᎪ
,de:gahyé:sgó:ʔi,ᏕᎦᏰᏍᎪᎢ
,de:gahyé:ʔa,ᏕᎦᏰᎠ
,de:gatǔ:gā,ᏕᎦᏚᎦ
,de:gaʔdǔ:gía,ᏕᎦᏚᎩᎠ
,de:gaʔdǔ:gî:sgó,ᏕᎦᏚᎩᏍᎪ
,de:gaʔdǔ:gî:sgó:ʔi,ᏕᎦᏚᎩᏍᎪᎢ
,de:gaʔdǔ:gā,ᏕᎦᏚᎦ
,de:ginada:dohljv̌,ᏕᎩᎾᏓᏙꮅᏨ
,de:ginada:dohljv̌:ʔi,ᏕᎩᎾᏓᏙꮅᏨᎢ
,de:ginada:go:hv̌,ᏕᎩᎾᏓᎪᎲ
,de:ginada:go:hv̌:ʔi,ᏕᎩᎾᏓᎪᎲᎢ
,de:ginadadu:lv:hv̌,ᏕᎩᎾᏓᏚᎸᎲ
,de:ginadadu:lv:hv̌:ʔi,ᏕᎩᎾᏓᏚᎸᎲᎢ
,de:ginadadu:líha,ᏕᎩᎾᏓᏚᎵᎭ
,de:ginadǔ:lā,ᏕᎩᎾᏚᎳ
,de:gini,ᏕᎩᏂ
,de:gini:go:hv̌,ᏕᎩᏂᎪᎲ
,de:gini:go:hv̌:ʔi,ᏕᎩᏂᎪᎲᎢ
,de:gini:ha,ᏕᎩᏂᎭ
,de:gini:hv̌,ᏕᎩᏂᎲ
,de:gini:hv̌:ʔi,ᏕᎩᏂᎲᎢ
,de:gini:hyá:ʔv̌,ᏕᎩᏂᏯᎥ
,de:gini:hyá:ʔv̌:ʔi,ᏕᎩᏂᏯᎥᎢ
,de:gini:hé:sdi,ᏕᎩᏂᎮᏍᏗ
,de:gini:hó,ᏕᎩᏂᎰ
,de:gini:hó:ʔi,ᏕᎩᏂᎰᎢ
,de:gini:káha,ᏕᎩᏂᎧᎭ
,de:gini:ne:hv̌,ᏕᎩᏂᏁᎲ
,de:gini:ne:hv̌:ʔi,ᏕᎩᏂᏁᎲᎢ
,de:gini:ne:hó,ᏕᎩᏂᏁᎰ
,de:gini:ne:hó:ʔi,ᏕᎩᏂᏁᎰᎢ
,de:gini:náó,ᏕᎩᏂᎾᎣ
,de:gini:náó:ʔi,ᏕᎩᏂᎾᎣᎢ
,de:gini:náʔa,ᏕᎩᏂᎾᎠ
,de:gini:tade:gâ:nv̌,ᏕᎩᏂᏔᏕᎦᏅ
,de:gini:tade:gâ:nv̌:ʔi,ᏕᎩᏂᏔᏕᎦᏅᎢ
,de:gini:tade:gí,ᏕᎩᏂᏔᏕᎩ
,de:gini:tade:gí:ʔa,ᏕᎩᏂᏔᏕᎩᎠ
,de:gini:yò:sǐ:sā,ᏕᎩᏂᏲᏏᏌ
,de:ginohljv̌,ᏕᎩᏃꮅᏨ
,de:ginohljv̌:ʔi,ᏕᎩᏃꮅᏨᎢ
,de:ginv̌:yê:sdi,ᏕᎩᏅᏰᏍᏗ
,de:ginv̌:yó,ᏕᎩᏅᏲ
,de:ginv̌:yóʔi,ᏕᎩᏅᏲᎢ
*,de:ginà:ktǒ:stánv̌,ᏕᎩᎾkᏙᏍᏔᏅ
*,de:ginà:ktǒ:stánv̌:ʔi,ᏕᎩᎾkᏙᏍᏔᏅᎢ
,de:ginàtǔ:gî:sv̌,ᏕᎩᎾᏚᎩᏒ
,de:ginàtǔ:gî:sv̌:ʔi,ᏕᎩᎾᏚᎩᏒᎢ
,de:ginì:sdí:gv̌,ᏕᎩᏂᏍᏗᎬ
,de:ginì:sdí:gv̌:ʔi,ᏕᎩᏂᏍᏗᎬᎢ
,de:ginù:di:tahv̌,ᏕᎩᏄᏗᏔᎲ
,de:ginù:di:tahv̌:ʔi,ᏕᎩᏄᏗᏔᎲᎢ
,"de:ginī""v",ᏕᎩᏂᎥ
,de:go:li:gó,ᏕᎪᎵᎪ
,de:go:li:gó:ʔi,ᏕᎪᎵᎪᎢ
,de:go:lì,ᏕᎪᎵ
,de:go:lì:ga,ᏕᎪᎵᎦ
,de:gohlga,ᏕᎪꮅᎦ
,de:gohlgā,ᏕᎪꮅᎦ
,de:gà:di:tasgó,ᏕᎦᏗᏔᏍᎪ
,de:gà:di:tasgó:ʔi,ᏕᎦᏗᏔᏍᎪᎢ
,de:gà:di:tásga,ᏕᎦᏗᏔᏍᎦ
,de:gàhlǐ:sā,ᏕᎦᏟᏌ
,de:gàtǔ:gía,ᏕᎦᏚᎩᎠ
,de:gádu:hv́sga,ᏕᎦᏚᎲᏍᎦ
,de:gáhli:síha,ᏕᎦᏟᏏᎭ
,de:ha:dǐ:tā,ᏕᎭᏗᏔ
,de:halǔ kaʔla.,ᏕᎭᎷ ᎧᎳ.
,de:halǔ:yi kaʔla.,ᏕᎭᎷᏱ ᎧᎳ.
