ID|PSET|ALT_PRONOUNCE|PRONOUN|VERB|GENDER|SYLLABARY|PRONOUNCE|ENGLISH|INTRO NOTE|END NOTE|APP_FILE
209|||Ꭰ̣²-, Ꭶ̣²-|Ꭱ¹Ꮎ²||ᎡᎾ|è:nā|He recently went|||ee1na2
210|||Ꮶ¹Ꭹ²-|ɂ¹ᏘᏗ||ᏦᎩᏘᏗ|jò:gì:tdi|For them and me to bake things|||joo1gii1tdi
211|||Ꮧ̣²Ꮎ̣²Ꮣ²[Ꮣ͓]-|ᎣᎵ͓²Ꭹ||ᏗᎾᏓᏙᎵᎩ|dinada:dohlgi|Let you and me be acquainted|||di2na2daa2dohl2gi
212|||Ꮳ̣²-, Ꮳ̣²-|ᎣᎵ͓²Ꭶ²||ᏦᎵᎦ|johlgā|He recently recognized you|||johl2ga2
213|||Ꮣ̣²-, Ꮥ²Ꭶ̣²-|ᏍᏗ²³Ꭶ²||ᏓᏍᏗᎦ|dasdǐ:gā|He recently ate long things|||da2sdii23ga2
214|||Ꭰ¹Ꮵ̣²-, Ꭰ¹Ꭶ͓-|Ꭳ²Ꮅ¹Ꭶ²*||ᎠᎪᎵᎦ|à:go:lì:gā|He was recently recognized|||aa1goo2lii1ga2
215|||Ꮣ¹Ꮒ²-|ɂ¹Ꮯ²³Ꮜ²||ᏓᏂᏟᏌ|dà:nì:hlǐ:sā|They recently gathered things|||daa1nii1hlii23sa2
216|||Ꮶ¹Ꭶ̣²Ꮣ²[Ꮣ͓]-|ᎪᏩ͓²Ꮫ³Ꮧ||ᏦᎦᏓᎪᏩᏛᏗ|jò:gada:gowhtv́hdi|For them and me to see each other|||joo1ga2daa2gowh2tvh3di
217|||Ꮧ̣²Ꮵ̣²-, Ꮧ̣²Ꭶ͓-|Ꭰ̣²Ꮪ²³Ꭹ*||ᏫᏗᎦᏚᎩ|widigaɂdǔ:gi|Let me drink alcoholic drinks|||wi2di2ga-2duu23gi
218|||ᏍᏗ²-|Ꭱ¹Ꮎ||ᏍᏕᎾ|sdè:na|Let you both go|||sdee1na
219|||Ꮪ²-, Ꮪ²Ꮹ͓-|Ꮀ³Ꭲ||ᏚᎰᎢ|du:hó:ɂi|He usually has things|||duu2hoo3-i
220|||Ꮵ̣²-, Ꭶ͓-|Ꭱ¹Ꮎ²||ᎨᎾ|gè:nā|I recently went|||gee1na2
221|||Ꮷ¹Ꮒ²-|ɂ¹ᏘᏗ||ᏧᏂᏘᏗ|jù:nì:tdi|For them to bake things|||juu1nii1tdi
222|||Ꭱ¹Ꮳ̣²-, Ꭱ¹Ꮳ̣²-|ᎣᎵ͓²Ꭶ||ᎡᏦᎵᎦ|è:johlga|You are being recognized|||ee1johl2ga
223|||Ꮧ̣²Ꮣ̣²Ꮣ²[Ꮣ͓]-|ᎣᎵ͓²Ꭹ||ᏗᏓᏓᏙᎵᎩ|didada:dohlgi|Let all of us be acquainted|||di2da2daa2dohl2gi
224|||Ꭱ¹Ꭹ²-|Ꭳ²Ꮅ¹Ꭶ²*||ᎡᎪᎵᎦ|è:go:lì:gā|All of us were recently recognized|||ee1goo2lii1ga2
225|||Ꮥ³Ꮒ²-|ɂ¹Ꮯ²³Ꮜ²||ᏕᏂᏟᏌ|dé:nì:hlǐ:sā|You and I recently gathered things|||dee3nii1hlii23sa2
226|||Ꮷ¹Ꮎ̣²Ꮣ²[Ꮣ͓]-|ᎪᏩ͓²Ꮫ³Ꮧ||ᏧᎾᏓᎪᏩᏛᏗ|jù:nada:gowhtv́hdi|For them to see each other|||juu1na2daa2gowh2tvh3di
227|||Ꭲ¹Ꮒ²-|Ꭱ¹Ꮎ||ᎢᏁᎾ|ì:nè:na|Let you and me go|||ii1nee1na
228|||Ꭰ¹Ꮒ²-|Ꭱ¹Ꮎ²||ᎠᏁᎾ|à:nè:nā|They recently went|||aa1nee1na2
229|||Ꭲ¹Ꭹ²-|Ꭵ²³Ꮜ||ᎢᎬᏌ|ì:gv̌:sa|Ourselves, you all and I|||ii1gvv23sa
230|||Ꮧ̣²Ꭹ²-|ɂ¹ᏘᏗ||ᏗᎩᏘᏗ|digì:tdi|For all of us to bake things|||di2gii1tdi
231|||Ꭸ²Ꮳ̣²-, Ꭸ²Ꮳ̣²-|ᎣᎵ͓²Ꭶ||ᎨᏦᎵᎦ|ge:johlga|They recognize you|||gee2johl2ga
232|||Ꮶ¹Ꮳ̣²Ꮣ²[Ꮣ͓]-|ᎣᎵ͓²Ꭹ||ᏫᏦᏣᏓᏙᎵᎩ|wijò:jada:dohlgi|Let them and me be acquainted|||wi2joo1ja2daa2dohl2gi
233|||Ꭱ¹Ꮒ²-|Ꭳ²Ꮅ¹Ꭶ²*||ᎡᏃᎵᎦ|è:no:lì:gā|You and I recently recognized him|||ee1noo2lii1ga2
